"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","value","task","sentence_first","sentence_second","presentation_index","rt_ms","sentence","catch_index","sentence_position","catch_type","response_label","correct_response","correct"
"9903","
          <div class=""sentence-container"">
            <div class=""sentence-text"">La valise de Marco, contenant tous ses habits favoris, a été perdue lors de son voyage en avion.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Marco reçoit un appel de la compagnie aérienne lui disant qu'ils sont dans l'incapacité de trouver sa valise et qu'il sera remboursé à la hauteur de 300 euros pour les dommages occasionnés.</div>
          </div>
        "," ","html-keyboard-response","75","530921","0.0-7.0-68.0","","reading","La valise de Marco, contenant tous ses habits favoris, a été perdue lors de son voyage en avion.","Marco reçoit un appel de la compagnie aérienne lui disant qu'ils sont dans l'incapacité de trouver sa valise et qu'il sera remboursé à la hauteur de 300 euros pour les dommages occasionnés.","31","9903","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","76","532921","0.0-7.0-69.0","","","","","","","","","","","","",""
"10575","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Mario est avec un ami lorsqu'ils croisent une fille avec qui ils sont sortis en soirée, mais il ne se rappelle plus son prénom.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">L'ami de Mario lui glisse discrètement à l'oreille qu'elle s'appelle Diana.</div>
          </div>
        "," ","html-keyboard-response","77","543497","0.0-7.0-70.0","","reading","Mario est avec un ami lorsqu'ils croisent une fille avec qui ils sont sortis en soirée, mais il ne se rappelle plus son prénom.","L'ami de Mario lui glisse discrètement à l'oreille qu'elle s'appelle Diana.","32","10575","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","78","545497","0.0-7.0-71.0","","","","","","","","","","","","",""
"6879","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Erik vient d'acheter des sneakers super rares et il a hâte de voir la tête de ses amis quand il leur dira ce soir.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Les amis d'Erik adorent sa nouvelle paire et le complimentent sur son goût.</div>
          </div>
        "," ","html-keyboard-response","79","552377","0.0-7.0-72.0","","reading","Erik vient d'acheter des sneakers super rares et il a hâte de voir la tête de ses amis quand il leur dira ce soir.","Les amis d'Erik adorent sa nouvelle paire et le complimentent sur son goût.","33","6879","","","","","","",""
"8256","
        <div style=""
          display: flex;
          flex-direction: column;
          align-items: center;
          justify-content: center;
          width: 90vw;
          max-width: 90vw;
          box-sizing: border-box;
          padding: 40px;
          word-wrap: break-word;
          overflow-wrap: break-word;
          white-space: normal;
        "">
          <div style=""
            font-family: 'Courier New', monospace;
            font-size: 40px;
            line-height: 2.2;
            letter-spacing: 2px;
            text-align: center;
            color: #111;
            width: 100%;
            word-wrap: break-word;
            overflow-wrap: break-word;
            white-space: normal;
          "">Avez-vous vu la phrase suivante ?<br><br><em>Mario est avec un ami lorsqu'ils croisent une fille avec qui ils sont sortis en soirée, mais il ne se rappelle plus son prénom. L'ami de Mario lui glisse discrètement à l'oreille qu'elle s'appelle Diana.</em></div>

          <div style=""
            display: flex;
            flex-direction: row;
            gap: 80px;
            margin-top: 60px;
            font-family: 'Courier New', monospace;
            font-size: 28px;
            color: #333;
          "">
            <div style=""text-align:center;"">
              <div style=""font-size: 48px;"">↑</div>
              <div>Oui</div>
            </div>
            <div style=""text-align:center;"">
              <div style=""font-size: 48px;"">↓</div>
              <div>Non</div>
            </div>
          </div>
        </div>
      ","arrowup","html-keyboard-response","80","560633","0.0-7.0-73.0","","catch","Erik vient d'acheter des sneakers super rares et il a hâte de voir la tête de ses amis quand il leur dira ce soir.","Les amis d'Erik adorent sa nouvelle paire et le complimentent sur son goût.","","","Mario est avec un ami lorsqu'ils croisent une fille avec qui ils sont sortis en soirée, mais il ne se rappelle plus son prénom. L'ami de Mario lui glisse discrètement à l'oreille qu'elle s'appelle Diana.","2","34","seen","Oui","Oui","true"
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","81","562633","0.0-7.0-74.0","","","","","","","","","","","","",""
"3775","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Comme tous les matins, Ana sort son chien.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Le soleil réchauffe sa peau.</div>
          </div>
        "," ","html-keyboard-response","82","566409","0.0-7.0-75.0","","reading","Comme tous les matins, Ana sort son chien.","Le soleil réchauffe sa peau.","34","3775","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","83","568409","0.0-7.0-76.0","","","","","","","","","","","","",""
"9983","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Arthur fait la queue à la banque pour retirer de l'argent quand un homme cagoulé et armé entre dans le bâtiment.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Arthur lâche un cri strident et se fait immédiatement tirer dessus. Il meurt avant d'arriver aux urgences.</div>
          </div>
        "," ","html-keyboard-response","84","578393","0.0-7.0-77.0","","reading","Arthur fait la queue à la banque pour retirer de l'argent quand un homme cagoulé et armé entre dans le bâtiment.","Arthur lâche un cri strident et se fait immédiatement tirer dessus. Il meurt avant d'arriver aux urgences.","35","9983","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","85","580393","0.0-7.0-78.0","","","","","","","","","","","","",""
"3295","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Matt a une copine.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il lui fait beaucoup de cadeaux.</div>
          </div>
        "," ","html-keyboard-response","86","583689","0.0-7.0-79.0","","reading","Matt a une copine.","Il lui fait beaucoup de cadeaux.","36","3295","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","87","585689","0.0-7.0-80.0","","","","","","","","","","","","",""
"2352","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Sam rentre à la maison.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il enlève sa veste.</div>
          </div>
        "," ","html-keyboard-response","88","588039","0.0-7.0-81.0","","reading","Sam rentre à la maison.","Il enlève sa veste.","37","2352","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","89","590040","0.0-7.0-82.0","","","","","","","","","","","","",""
"3295","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Lena doit retirer de l'argent.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle se rend à la banque près de chez elle.</div>
          </div>
        "," ","html-keyboard-response","90","593335","0.0-7.0-83.0","","reading","Lena doit retirer de l'argent.","Elle se rend à la banque près de chez elle.","38","3295","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","91","595336","0.0-7.0-84.0","","","","","","","","","","","","",""
"6959","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Jack rentre chez lui et entend des bruits suspects à l'étage. Il est inquiet car il habite seul.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il marche sur la pointe des pieds en se rapprochant des escaliers.</div>
          </div>
        "," ","html-keyboard-response","92","602295","0.0-7.0-85.0","","reading","Jack rentre chez lui et entend des bruits suspects à l'étage. Il est inquiet car il habite seul.","Il marche sur la pointe des pieds en se rapprochant des escaliers.","39","6959","","","","","","",""
"3216","
          <div class=""instructions"">
            <h2>Pause — Recalibration</h2>
            <p>Nous allons recalibrer le suivi oculaire.</p>
            <p>Appuyez sur <strong>ESPACE</strong> pour lancer la recalibration.</p>
          </div>
        "," ","html-keyboard-response","93","605511","0.0-7.0-86.0","","","","","","","","","","","","",""
"","","","call-function","94","618092","0.0-7.0-87.0","","","","","","","","","","","","",""
"2411","
          <div class=""instructions"">
            <h2>Recalibration terminée</h2>
            <p>Appuyez sur <strong>ESPACE</strong> pour continuer la lecture.</p>
          </div>
        "," ","html-keyboard-response","95","620503","0.0-7.0-88.0","","","","","","","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","96","622504","0.0-7.0-89.0","","","","","","","","","","","","",""
"6143","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Cam attend son bus en espérant qu'il ne sera pas trop plein.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Le bus qui arrive est hors service, Cam continue à attendre.</div>
          </div>
        "," ","html-keyboard-response","97","628647","0.0-7.0-90.0","","reading","Cam attend son bus en espérant qu'il ne sera pas trop plein.","Le bus qui arrive est hors service, Cam continue à attendre.","40","6143","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","98","630648","0.0-7.0-91.0","","","","","","","","","","","","",""
"4623","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Paul doit rejoindre un ami pour prendre un café.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il monte dans le bus pour se rendre au lieu de rendez-vous.</div>
          </div>
        "," ","html-keyboard-response","99","635271","0.0-7.0-92.0","","reading","Paul doit rejoindre un ami pour prendre un café.","Il monte dans le bus pour se rendre au lieu de rendez-vous.","41","4623","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","100","637272","0.0-7.0-93.0","","","","","","","","","","","","",""
"5535","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Liam est à la station et il attend son train matinal.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Lorsque le train arrive, il monte dedans.</div>
          </div>
        "," ","html-keyboard-response","101","642807","0.0-7.0-94.0","","reading","Liam est à la station et il attend son train matinal.","Lorsque le train arrive, il monte dedans.","42","5535","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","102","644808","0.0-7.0-95.0","","","","","","","","","","","","",""
"6431","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Mina vient de marcher sur quelque chose de collant.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle regarde sous sa chaussure et voit qu'un chewing-gum est collé à sa semelle.</div>
          </div>
        "," ","html-keyboard-response","103","651238","0.0-7.0-96.0","","reading","Mina vient de marcher sur quelque chose de collant.","Elle regarde sous sa chaussure et voit qu'un chewing-gum est collé à sa semelle.","43","6431","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","104","653238","0.0-7.0-97.0","","","","","","","","","","","","",""
"17647","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Megan est en train de bronzer sur son bateau lorsqu'elle entrevoit une tempête se former à quelques nœuds.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il commence à pleuvoir et elle essaye de s'abriter. Des vagues de plusieurs mètres s'abattent sur le mât du bateau, Megan perd l'équilibre et tombe dans l'eau. Elle se bat contre les vagues pendant plusieurs minutes mais, exténuée, elle se noie.</div>
          </div>
        "," ","html-keyboard-response","105","670886","0.0-7.0-98.0","","reading","Megan est en train de bronzer sur son bateau lorsqu'elle entrevoit une tempête se former à quelques nœuds.","Il commence à pleuvoir et elle essaye de s'abriter. Des vagues de plusieurs mètres s'abattent sur le mât du bateau, Megan perd l'équilibre et tombe dans l'eau. Elle se bat contre les vagues pendant plusieurs minutes mais, exténuée, elle se noie.","44","17647","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","106","672886","0.0-7.0-99.0","","","","","","","","","","","","",""
"2767","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Emma se balade dans la rue.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle porte des chaussures bleues.</div>
          </div>
        "," ","html-keyboard-response","107","675654","0.0-7.0-100.0","","reading","Emma se balade dans la rue.","Elle porte des chaussures bleues.","45","2767","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","108","677654","0.0-7.0-101.0","","","","","","","","","","","","",""
"3663","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Léonard a envie de manger un bon plat ce soir.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il va à son restaurant préféré.</div>
          </div>
        "," ","html-keyboard-response","109","681318","0.0-7.0-102.0","","reading","Léonard a envie de manger un bon plat ce soir.","Il va à son restaurant préféré.","46","3663","","","","","","",""
"16911","
        <div style=""
          display: flex;
          flex-direction: column;
          align-items: center;
          justify-content: center;
          width: 90vw;
          max-width: 90vw;
          box-sizing: border-box;
          padding: 40px;
          word-wrap: break-word;
          overflow-wrap: break-word;
          white-space: normal;
        "">
          <div style=""
            font-family: 'Courier New', monospace;
            font-size: 40px;
            line-height: 2.2;
            letter-spacing: 2px;
            text-align: center;
            color: #111;
            width: 100%;
            word-wrap: break-word;
            overflow-wrap: break-word;
            white-space: normal;
          "">Avez-vous vu la phrase suivante ?<br><br><em>Megan est en train de bronzer sur son bateau lorsqu'elle entrevoit une tempête se former à quelques nœuds. Il commence à pleuvoir et elle essaye de s'abriter. Des vagues de plusieurs mètres s'abattent sur le mât du bateau, Megan perd l'équilibre et tombe dans l'eau. Elle se bat contre les vagues pendant plusieurs minutes mais, exténuée, elle se noie.</em></div>

          <div style=""
            display: flex;
            flex-direction: row;
            gap: 80px;
            margin-top: 60px;
            font-family: 'Courier New', monospace;
            font-size: 28px;
            color: #333;
          "">
            <div style=""text-align:center;"">
              <div style=""font-size: 48px;"">↑</div>
              <div>Oui</div>
            </div>
            <div style=""text-align:center;"">
              <div style=""font-size: 48px;"">↓</div>
              <div>Non</div>
            </div>
          </div>
        </div>
      ","arrowdown","html-keyboard-response","110","698230","0.0-7.0-103.0","","catch","Léonard a envie de manger un bon plat ce soir.","Il va à son restaurant préféré.","","","Megan est en train de bronzer sur son bateau lorsqu'elle entrevoit une tempête se former à quelques nœuds. Il commence à pleuvoir et elle essaye de s'abriter. Des vagues de plusieurs mètres s'abattent sur le mât du bateau, Megan perd l'équilibre et tombe dans l'eau. Elle se bat contre les vagues pendant plusieurs minutes mais, exténuée, elle se noie.","3","47","seen","Non","Oui","false"
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","111","700230","0.0-7.0-104.0","","","","","","","","","","","","",""
"14175","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Andy est à son restaurant préféré et à son habitude il commande 'La Surprise du Chef' comme plat principal. Il s'agit d'une préparation dans laquelle le chef choisit les ingrédients qu'il souhaite travailler. Andy espère qu'il va aimer.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Un parfum incroyable se dégage du plat surprise. Andy se régale.</div>
          </div>
        "," ","html-keyboard-response","112","714404","0.0-7.0-105.0","","reading","Andy est à son restaurant préféré et à son habitude il commande 'La Surprise du Chef' comme plat principal. Il s'agit d'une préparation dans laquelle le chef choisit les ingrédients qu'il souhaite travailler. Andy espère qu'il va aimer.","Un parfum incroyable se dégage du plat surprise. Andy se régale.","47","14175","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","113","716405","0.0-7.0-106.0","","","","","","","","","","","","",""
"5935","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Mia se balade avec un ami lorsque soudain il sort un cadeau de son sac.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Son ami lui demande si elle aime le papier cadeau.</div>
          </div>
        "," ","html-keyboard-response","114","722340","0.0-7.0-107.0","","reading","Mia se balade avec un ami lorsque soudain il sort un cadeau de son sac.","Son ami lui demande si elle aime le papier cadeau.","48","5935","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","115","724341","0.0-7.0-108.0","","","","","","","","","","","","",""
"13039","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Adrien est réveillé par son chien qui aboie en pleine nuit. Il est surpris car son chien n'aboie jamais.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il se dit qu'il devrait descendre vérifier ce qu'il se passe mais il est trop fatigué. Il retourne donc dormir, tant pis si ce sont des voleurs.</div>
          </div>
        "," ","html-keyboard-response","116","737380","0.0-7.0-109.0","","reading","Adrien est réveillé par son chien qui aboie en pleine nuit. Il est surpris car son chien n'aboie jamais.","Il se dit qu'il devrait descendre vérifier ce qu'il se passe mais il est trop fatigué. Il retourne donc dormir, tant pis si ce sont des voleurs.","49","13039","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","117","739381","0.0-7.0-110.0","","","","","","","","","","","","",""
"8688","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Lorena est en retard pour son rendez-vous. Elle s'apprête à sortir mais elle ne trouve pas son téléphone.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle se souvient soudain qu'elle l'a laissé dans les cabines à la gym ce matin.</div>
          </div>
        "," ","html-keyboard-response","118","748068","0.0-7.0-111.0","","reading","Lorena est en retard pour son rendez-vous. Elle s'apprête à sortir mais elle ne trouve pas son téléphone.","Elle se souvient soudain qu'elle l'a laissé dans les cabines à la gym ce matin.","50","8688","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","119","750069","0.0-7.0-112.0","","","","","","","","","","","","",""
"11055","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Sara a travaillé assidûment pour la thèse qu'elle a rendue le mois passé. Elle espère avoir une bonne note.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">En arrivant en classe, son professeur la félicite immédiatement car sa thèse était excellente: Sara a obtenu un 90% !</div>
          </div>
        "," ","html-keyboard-response","120","761124","0.0-7.0-113.0","","reading","Sara a travaillé assidûment pour la thèse qu'elle a rendue le mois passé. Elle espère avoir une bonne note.","En arrivant en classe, son professeur la félicite immédiatement car sa thèse était excellente: Sara a obtenu un 90% !","51","11055","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","121","763125","0.0-7.0-114.0","","","","","","","","","","","","",""
"1839","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Bruno rentre chez lui.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Il prend son bus.</div>
          </div>
        "," ","html-keyboard-response","122","764964","0.0-7.0-115.0","","reading","Bruno rentre chez lui.","Il prend son bus.","52","1839","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","123","766965","0.0-7.0-116.0","","","","","","","","","","","","",""
"8255","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Magnus doit rejoindre son ami pour prendre un café, il décide de regarder l'heure sur son portable.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Magnus sort son téléphone mais sa batterie est à plat.</div>
          </div>
        "," ","html-keyboard-response","124","775219","0.0-7.0-117.0","","reading","Magnus doit rejoindre son ami pour prendre un café, il décide de regarder l'heure sur son portable.","Magnus sort son téléphone mais sa batterie est à plat.","53","8255","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","125","777219","0.0-7.0-118.0","","","","","","","","","","","","",""
"3519","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Mara a bientôt un examen de la plus haute importance.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle passe toutes ses journées à la bibliothèque.</div>
          </div>
        "," ","html-keyboard-response","126","780739","0.0-7.0-119.0","","reading","Mara a bientôt un examen de la plus haute importance.","Elle passe toutes ses journées à la bibliothèque.","54","3519","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","127","782739","0.0-7.0-120.0","","","","","","","","","","","","",""
"6368","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Tom regarde un match de foot avec son équipe préférée, ils pourraient gagner la Champions League !</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Les deux équipes jouent aussi bien l'une que l'autre, le match est très serré.</div>
          </div>
        "," ","html-keyboard-response","128","789107","0.0-7.0-121.0","","reading","Tom regarde un match de foot avec son équipe préférée, ils pourraient gagner la Champions League !","Les deux équipes jouent aussi bien l'une que l'autre, le match est très serré.","55","6368","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","129","791107","0.0-7.0-122.0","","","","","","","","","","","","",""
"8352","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Albert se dirige vers un 'blind-date' que son meilleur ami lui a organisé. À ce qu'il paraît, la fille qu'il va rencontrer est magnifique.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Lorsque Albert la voit arriver, il est immédiatement sous le charme.</div>
          </div>
        "," ","html-keyboard-response","130","799459","0.0-7.0-123.0","","reading","Albert se dirige vers un 'blind-date' que son meilleur ami lui a organisé. À ce qu'il paraît, la fille qu'il va rencontrer est magnifique.","Lorsque Albert la voit arriver, il est immédiatement sous le charme.","56","8352","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","131","801459","0.0-7.0-124.0","","","","","","","","","","","","",""
"6591","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Nelly aimerait adopter un chaton et elle espère en trouver un au refuge de la ville.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Lorsqu'elle arrive au refuge, Nelly identifie immédiatement le chaton de ses rêves: un tout noir avec des petites oreilles.</div>
          </div>
        "," ","html-keyboard-response","132","808051","0.0-7.0-125.0","","reading","Nelly aimerait adopter un chaton et elle espère en trouver un au refuge de la ville.","Lorsqu'elle arrive au refuge, Nelly identifie immédiatement le chaton de ses rêves: un tout noir avec des petites oreilles.","57","6591","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","133","810051","0.0-7.0-126.0","","","","","","","","","","","","",""
"2031","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Jeanne fait des activités touristiques.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle prend beaucoup de selfies.</div>
          </div>
        "," ","html-keyboard-response","134","812083","0.0-7.0-127.0","","reading","Jeanne fait des activités touristiques.","Elle prend beaucoup de selfies.","58","2031","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","135","814083","0.0-7.0-128.0","","","","","","","","","","","","",""
"2047","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Erin voyage en avion.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle a bouclé sa ceinture.</div>
          </div>
        "," ","html-keyboard-response","136","816131","0.0-7.0-129.0","","reading","Erin voyage en avion.","Elle a bouclé sa ceinture.","59","2047","","","","","","",""
"944","
          <div class=""instructions"">
            <h2>Pause — Recalibration</h2>
            <p>Nous allons recalibrer le suivi oculaire.</p>
            <p>Appuyez sur <strong>ESPACE</strong> pour lancer la recalibration.</p>
          </div>
        "," ","html-keyboard-response","137","817075","0.0-7.0-130.0","","","","","","","","","","","","",""
"","","","call-function","138","829569","0.0-7.0-131.0","","","","","","","","","","","","",""
"1297","
          <div class=""instructions"">
            <h2>Recalibration terminée</h2>
            <p>Appuyez sur <strong>ESPACE</strong> pour continuer la lecture.</p>
          </div>
        "," ","html-keyboard-response","139","830867","0.0-7.0-132.0","","","","","","","","","","","","",""
"8064","
        <div style=""
          display: flex;
          flex-direction: column;
          align-items: center;
          justify-content: center;
          width: 90vw;
          max-width: 90vw;
          box-sizing: border-box;
          padding: 40px;
          word-wrap: break-word;
          overflow-wrap: break-word;
          white-space: normal;
        "">
          <div style=""
            font-family: 'Courier New', monospace;
            font-size: 40px;
            line-height: 2.2;
            letter-spacing: 2px;
            text-align: center;
            color: #111;
            width: 100%;
            word-wrap: break-word;
            overflow-wrap: break-word;
            white-space: normal;
          "">Avez-vous vu la phrase suivante ?<br><br><em>Elena fait du tourisme lorsqu'elle sent quelque chose de chaud tomber sur son épaule. Elle regarde son épaule mais il n'y a rien dessus.</em></div>

          <div style=""
            display: flex;
            flex-direction: row;
            gap: 80px;
            margin-top: 60px;
            font-family: 'Courier New', monospace;
            font-size: 28px;
            color: #333;
          "">
            <div style=""text-align:center;"">
              <div style=""font-size: 48px;"">↑</div>
              <div>Oui</div>
            </div>
            <div style=""text-align:center;"">
              <div style=""font-size: 48px;"">↓</div>
              <div>Non</div>
            </div>
          </div>
        </div>
      ","arrowdown","html-keyboard-response","140","838930","0.0-7.0-133.0","","catch","Erin voyage en avion.","Elle a bouclé sa ceinture.","","","Elena fait du tourisme lorsqu'elle sent quelque chose de chaud tomber sur son épaule. Elle regarde son épaule mais il n'y a rien dessus.","4","60","unseen","Non","Non","true"
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","141","840930","0.0-7.0-134.0","","","","","","","","","","","","",""
"9056","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Quelqu'un a dit à Cynthia que l'examen de physique quantique qu'elle redoutait a été annulé.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle envoie un e-mail à son professeur en lui demandant si c'est bien le cas. Ce dernier lui confirme que l'examen a été supprimé.</div>
          </div>
        "," ","html-keyboard-response","142","849986","0.0-7.0-135.0","","reading","Quelqu'un a dit à Cynthia que l'examen de physique quantique qu'elle redoutait a été annulé.","Elle envoie un e-mail à son professeur en lui demandant si c'est bien le cas. Ce dernier lui confirme que l'examen a été supprimé.","60","9056","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","143","851986","0.0-7.0-136.0","","","","","","","","","","","","",""
"11215","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Elena est de sortie en ville lorsque sa mère l'appelle en panique pour lui demander si elle est bien en sécurité. Elle poursuit, confuse, en criant que quelque chose d'horrible vient d'arriver au centre-ville.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">La mère d'Elena lui dit qu'il y a eu une attaque à la bombe et qu'elle doit rentrer à la maison le plus vite possible.</div>
          </div>
        "," ","html-keyboard-response","144","863202","0.0-7.0-137.0","","reading","Elena est de sortie en ville lorsque sa mère l'appelle en panique pour lui demander si elle est bien en sécurité. Elle poursuit, confuse, en criant que quelque chose d'horrible vient d'arriver au centre-ville.","La mère d'Elena lui dit qu'il y a eu une attaque à la bombe et qu'elle doit rentrer à la maison le plus vite possible.","61","11215","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","145","865202","0.0-7.0-138.0","","","","","","","","","","","","",""
"2559","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Jade se balade avec une amie.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elles parlent de leur journée.</div>
          </div>
        "," ","html-keyboard-response","146","867762","0.0-7.0-139.0","","reading","Jade se balade avec une amie.","Elles parlent de leur journée.","62","2559","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","147","869762","0.0-7.0-140.0","","","","","","","","","","","","",""
"10703","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Chloé est sur le point de s'endormir lorsque l'avion sur lequel elle voyage commence à faire un bruit sourd depuis le moteur gauche.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Après quelques minutes, le pilote dit aux passagers qu'une turbine dans le moteur est défectueuse mais que cela ne va pas influencer leur trajet. Il ajoute qu'il ne faut pas paniquer.</div>
          </div>
        "," ","html-keyboard-response","148","880466","0.0-7.0-141.0","","reading","Chloé est sur le point de s'endormir lorsque l'avion sur lequel elle voyage commence à faire un bruit sourd depuis le moteur gauche.","Après quelques minutes, le pilote dit aux passagers qu'une turbine dans le moteur est défectueuse mais que cela ne va pas influencer leur trajet. Il ajoute qu'il ne faut pas paniquer.","63","10703","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","149","882466","0.0-7.0-142.0","","","","","","","","","","","","",""
